locus_tag,chromosome,gene_name,mutation_count,mutated,CDS_length_bp,mutation_density,gc_content,protein_abundance,rna_level,essential,replication_timing
YAL001C,chrI,TFC3,0,0,3483,0.0,0.3712316968130921,6.64,,1.0,23.81
YAL002W,chrI,VPS8,0,0,3825,0.0,0.3717647058823529,2.61,,0.0,24.74
YAL003W,chrI,EFB1,0,0,621,0.0,0.4460547504025764,3695.0,45.91961629549858,1.0,25.46
YAL004W,chrI,YAL004W,0,0,648,0.0,0.449074074074074,0.607,,0.0,25.69
YAL005C,chrI,SSA1,0,0,1929,0.0,0.4406428201140487,5103.0,74.29115049201847,0.0,26.200000000000003
YAL007C,chrI,ERP2,0,0,648,0.0,0.3703703703703703,123.0,4.290954381866684,0.0,26.81
YAL008W,chrI,FUN14,0,0,597,0.0,0.388609715242881,16.8,2.049411048055731,0.0,28.28
YAL009W,chrI,SPO7,0,0,780,0.0,0.4141025641025641,6.19,1.2488598574089609,0.0,27.21
YAL010C,chrI,MDM10,0,0,1482,0.0,0.3670715249662618,4.27,0.5763968572656736,0.0,27.6
YAL011W,chrI,SWC3,0,0,1878,0.0,0.4158679446219382,7.77,0.8005511906467704,0.0,28.02
YAL012W,chrI,CYS3,0,0,1185,0.0,0.4869198312236287,1217.0,15.17845057466277,0.0,28.24
YAL013W,chrI,DEP1,0,0,1218,0.0,0.5147783251231527,7.26,2.657829952947268,0.0,27.18
YAL014C,chrI,SYN8,0,0,768,0.0,0.44921875,4.55,5.539814239275668,0.0,27.56
YAL015C,chrI,NTG1,0,0,1200,0.0,0.4341666666666666,2.96,1.537058286041802,0.0,27.07
YAL016C-A,chrI,YAL016C-A,0,0,315,0.0,0.4095238095238095,,0.0640440952517416,,26.1
YAL016C-B,chrI,YAL016C-B,0,0,186,0.0,0.2580645161290322,,,0.0,26.24
YAL016W,chrI,TPD3,0,0,1908,0.0,0.3825995807127882,152.0,3.1701827149612107,0.0,26.46
YAL017W,chrI,PSK1,2,1,4071,0.0004912797838368,0.3888479489069025,11.0,,0.0,26.25
YAL018C,chrI,LDS1,0,0,978,0.0,0.3783231083844581,0.44,0.0640440952517416,0.0,28.85
YAL019W,chrI,FUN30,0,0,3396,0.0,0.4057714958775029,29.9,1.408970095538315,0.0,29.71
YAL019W-A,chrI,YAL019W-A,0,0,570,0.0,0.5140350877192983,1.15,,,31.66
YAL020C,chrI,ATS1,0,0,1002,0.0,0.5518962075848304,1.0,0.5123527620139329,0.0,30.72
YAL021C,chrI,CCR4,0,0,2514,0.0,0.4566428003182179,31.7,0.8325732382726408,0.0,31.37
YAL022C,chrI,FUN26,0,0,1554,0.0,0.4581724581724581,10.1,2.881984286328364,0.0,34.57
YAL023C,chrI,PMT2,0,0,2280,0.0,0.4456140350877193,88.4,7.845401668338349,0.0,35.93
YAL024C,chrI,LTE1,0,0,4308,0.0,0.3707056638811513,2.95,0.2881984286328367,,36.35
YAL025C,chrI,MAK16,0,0,921,0.0,0.4223669923995657,66.8,2.4016535719403107,1.0,37.79
YAL026C,chrI,DRS2,1,1,4068,0.0002458210422812,0.3758603736479842,14.9,,0.0,36.25
YAL026C-A,chrI,YAL026C-A,0,0,438,0.0,0.3333333333333333,,,,38.93
YAL027W,chrI,SAW1,0,0,786,0.0,0.3842239185750636,3.53,,0.0,37.54
YAL028W,chrI,FRT2,0,0,1587,0.0,0.4253308128544423,4.76,1.0887496192796078,0.0,38.41
YAL029C,chrI,MYO4,0,0,4416,0.0,0.3716032608695652,20.0,2.4016535719403107,0.0,36.37
YAL030W,chrI,SNC1,0,0,354,0.0,0.423728813559322,52.6,5.411726048772145,0.0,36.63
YAL031C,chrI,GIP4,0,0,2283,0.0,0.4007884362680683,5.28,,0.0,36.49
YAL031W-A,chrI,YAL031W-A,0,0,309,0.0,0.3980582524271844,,,,36.62
YAL032C,chrI,PRP45,0,0,1140,0.0,0.4526315789473684,6.68,0.3202204762587075,1.0,36.26
YAL033W,chrI,POP5,0,0,522,0.0,0.4157088122605364,19.6,1.2488598574089609,1.0,33.64
YAL034C,chrI,FUN19,0,0,1242,0.0,0.4219001610305958,1.13,0.6724630001432869,0.0,34.12
YAL034C-B,chrI,YAL034C-B,0,0,354,0.0,0.3418079096045198,,,1.0,35.22
YAL034W-A,chrI,MTW1,0,0,870,0.0,0.3850574712643678,13.2,0.8325732382726408,1.0,35.22
YAL035W,chrI,FUN12,1,1,3009,0.0003323363243602,0.413094051179794,333.0,,0.0,31.83
YAL036C,chrI,RBG1,0,0,1110,0.0,0.4369369369369369,126.0,3.618491381723405,0.0,29.31
YAL037C-A,chrI,YAL037C-A,0,0,93,0.0,0.3225806451612903,0.21,173.015123322576,0.0,29.95
YAL037C-B,chrI,YAL037C-B,0,0,975,0.0,0.4625641025641026,,,,29.95
YAL037W,chrI,YAL037W,0,0,804,0.0,0.3917910447761194,0.507,0.1280881905034832,0.0,29.71
YAL038W,chrI,CDC19,0,0,1503,0.0,0.4617431803060545,12757.0,,1.0,29.95
YAL039C,chrI,CYC3,0,0,810,0.0,0.5308641975308642,21.9,2.625807905321399,0.0,30.4
YAL040C,chrI,CLN3,0,0,1743,0.0,0.4107860011474469,0.612,1.505036238415928,0.0,29.64
YAL041W,chrI,CDC24,0,0,2565,0.0,0.389083820662768,14.6,2.081433095681596,1.0,31.01
YAL042C-A,chrI,YAL042C-A,0,0,378,0.0,0.4788359788359788,2.72,,0.0,31.91
YAL042W,chrI,ERV46,0,0,1248,0.0,0.4959935897435897,74.2,7.10889457294332,0.0,33.24
YAL043C,chrI,PTA1,0,0,2358,0.0,0.4601357082273112,29.7,0.5763968572656736,1.0,32.09
YAL044C,chrI,GCV3,0,0,513,0.0,0.4834307992202729,414.0,,0.0,32.64
YAL044W-A,chrI,YAL044W-A,0,0,333,0.0,0.4714714714714714,29.9,,,32.64
YAL045C,chrI,YAL045C,0,0,309,0.0,0.4724919093851132,0.359,,0.0,32.64
YAL046C,chrI,AIM1,0,0,357,0.0,0.4817927170868347,23.6,2.785918143450759,0.0,32.6
YAL047C,chrI,SPC72,0,0,1869,0.0,0.3654360620652755,5.79,,0.0,30.62
YAL047W-A,chrI,YAL047W-A,0,0,330,0.0,0.3545454545454545,0.107,,,31.27
YAL048C,chrI,GEM1,0,0,1989,0.0,0.3991955756661639,1.66,0.7044850477691579,0.0,32.8
YAL049C,chrI,AIM2,0,0,741,0.0,0.4183535762483131,61.9,3.618491381723405,0.0,32.21
YAL051W,chrI,OAF1,0,0,3144,0.0,0.3730916030534351,2.49,0.1921322857552254,0.0,29.9
YAL053W,chrI,FLC2,0,0,2352,0.0,0.4187925170068027,8.68,2.625807905321399,0.0,30.4
YAL054C,chrI,ACS1,1,1,2142,0.0004668534080298,0.453781512605042,34.1,1.2808819050348323,0.0,30.09
YAL055W,chrI,PEX22,0,0,543,0.0,0.4235727440147329,6.07,1.0887496192796078,0.0,28.15
YAL056C-A,chrI,YAL056C-A,0,0,351,0.0,0.4131054131054131,0.207,,0.0,30.0
YAL056W,chrI,GPB2,0,0,2643,0.0,0.3950056753688989,3.27,1.1527937145313487,0.0,27.46
YAL058W,chrI,CNE1,0,0,1509,0.0,0.4340622929092114,10.0,,0.0,29.93
YAL059C-A,chrI,YAL059C-A,0,0,423,0.0,0.3853427895981087,0.361,,,28.54
YAL059W,chrI,ECM1,0,0,639,0.0,0.4037558685446009,49.0,1.5690803336676693,0.0,28.54
YAL060W,chrI,BDH1,0,0,1149,0.0,0.4499564838990426,113.0,5.187571715391088,0.0,30.11
YAL061W,chrI,BDH2,0,0,1254,0.0,0.4840510366826156,9.58,3.778601619852748,0.0,27.67
YAL062W,chrI,GDH3,0,0,1374,0.0,0.4868995633187773,49.7,0.6404409525174152,0.0,30.98
YAL063C,chrI,FLO9,1,1,3969,0.000251952632905,0.4464600655076846,0.238,,,32.42666666666667
YAL063C-A,chrI,YAL063C-A,0,0,291,0.0,0.281786941580756,0.166,0.0640440952517416,,32.86666666666667
YAL064C-A,chrI,TDA8,0,0,381,0.0,0.4383202099737532,0.552,,0.0,34.18666666666667
YAL064W,chrI,YAL064W,0,0,285,0.0,0.3684210526315789,0.359,,,33.013333333333335
YAL064W-B,chrI,YAL064W-B,0,0,381,0.0,0.4540682414698163,0.512,,,34.48
YAL065C,chrI,YAL065C,0,0,387,0.0,0.4418604651162791,0.449,0.0640440952517416,0.0,34.48
YAL066W,chrI,YAL066W,0,0,309,0.0,0.2880258899676375,0.616,0.0640440952517416,0.0,34.48
YAL067C,chrI,SEO1,0,0,1782,0.0,0.3608305274971942,0.76,0.1921322857552254,0.0,34.48
YAL067W-A,chrI,YAL067W-A,0,0,228,0.0,0.4122807017543859,0.765,,0.0,34.48
YAL068C,chrI,PAU8,0,0,363,0.0,0.4958677685950413,0.256,,0.0,34.48
YAL068W-A,chrI,YAL068W-A,0,0,255,0.0,0.3529411764705882,,,,34.48
YAL069W,chrI,YAL069W,0,0,315,0.0,0.4349206349206349,0.38,,,34.48
YAR002C-A,chrI,ERP1,0,0,660,0.0,0.3954545454545454,161.0,2.081433095681596,0.0,22.79
YAR002W,chrI,NUP60,0,0,1620,0.0,0.3950617283950617,72.4,1.3769480479124443,0.0,22.62
YAR003W,chrI,SWD1,0,0,1281,0.0,0.4004683840749414,5.96,0.8005511906467704,0.0,23.65
YAR007C,chrI,RFA1,0,0,1866,0.0,0.394962486602358,95.9,6.564519763303515,1.0,22.0
YAR008W,chrI,SEN34,0,0,828,0.0,0.392512077294686,2.78,0.2561763810069664,1.0,22.64
YAR009C,chrI,YAR009C,0,0,3591,0.0,0.3720412141464773,,,,23.0
YAR010C,chrI,YAR010C,0,0,1323,0.0,0.4104308390022675,,,,21.815
YAR014C,chrI,BUD14,0,0,2130,0.0,0.4164319248826291,15.3,2.91400633395425,0.0,19.88
YAR015W,chrI,ADE1,0,0,921,0.0,0.4332247557003257,278.0,8.870107192366214,0.0,20.41
YAR018C,chrI,KIN3,0,0,1308,0.0,0.3929663608562691,1.35,3.426359095968184,0.0,19.24
YAR019C,chrI,CDC15,0,0,2925,0.0,0.401025641025641,6.12,0.9926834764019952,1.0,20.2
YAR019W-A,chrI,YAR019W-A,0,0,333,0.0,0.4444444444444444,0.084,0.0640440952517416,,20.18
YAR020C,chrI,PAU7,0,0,168,0.0,0.4404761904761904,1.69,,0.0,19.62
YAR023C,chrI,YAR023C,0,0,540,0.0,0.4018518518518518,1.22,0.3842645715104506,0.0,21.79
YAR027W,chrI,UIP3,0,0,708,0.0,0.3742937853107345,11.9,1.8252567146746363,0.0,22.94
YAR028W,chrI,YAR028W,0,0,705,0.0,0.4141843971631205,8.95,1.2808819050348323,0.0,24.2
YAR029W,chrI,YAR029W,0,0,225,0.0,0.3733333333333333,0.397,,0.0,23.69
YAR030C,chrI,YAR030C,0,0,342,0.0,0.3654970760233918,0.373,,0.0,23.7
YAR031W,chrI,PRM9,0,0,897,0.0,0.3879598662207358,1.97,,0.0,23.7
YAR033W,chrI,MST28,0,0,705,0.0,0.4113475177304964,2.69,,,24.4
YAR035C-A,chrI,YAR035C-A,0,0,81,0.0,0.4444444444444444,,,0.0,24.64
YAR035W,chrI,YAT1,0,0,2064,0.0,0.5804263565891473,4.03,,0.0,25.45
YAR042W,chrI,SWH1,1,1,3567,0.0002803476310625,0.4401457807681525,24.3,0.8005511906467704,0.0,24.26
YAR047C,chrI,YAR047C,0,0,321,0.0,0.3177570093457944,0.47,0.2561763810069664,0.0,28.958
YAR050W,chrI,FLO1,0,0,4614,0.0,0.453185955786736,3.68,,0.0,28.96
YAR053W,chrI,YAR053W,0,0,297,0.0,0.3198653198653198,0.402,,,30.986666666666668
YAR060C,chrI,YAR060C,0,0,336,0.0,0.3839285714285714,0.929,,,32.53333333333333
YAR061W,chrI,YAR061W,0,0,1006,0.0,0.4214711729622266,,,,32.92
YAR064W,chrI,YAR064W,0,0,300,0.0,0.48,1.34,,,33.11333333333334
YAR066W,chrI,YAR066W,0,0,612,0.0,0.468954248366013,2.78,,,33.306666666666665
YAR068W,chrI,YAR068W,0,0,486,0.0,0.4732510288065844,0.522,,,33.5
YAR069C,chrI,YAR069C,0,0,294,0.0,0.3877551020408163,,,,33.5
YAR070C,chrI,YAR070C,0,0,300,0.0,0.3933333333333333,0.477,,,33.5
YAR071W,chrI,PHO11,0,0,1404,0.0,0.4216524216524216,86.7,,,33.5
YAR073W,chrI,IMD1,0,0,1212,0.0,0.4265676567656766,86.1,,,33.5
YAR075W,chrI,YAR075W,0,0,474,0.0,0.4092827004219409,62.0,0.0640440952517416,,33.5
YBL001C,chrII,ECM15,0,0,315,0.0,0.3936507936507936,79.5,7.236982763446806,0.0,17.78
YBL002W,chrII,HTB2,0,0,396,0.0,0.4166666666666667,1831.0,18.60480967063093,0.0,17.78
YBL003C,chrII,HTA2,0,0,399,0.0,0.4110275689223057,1084.0,34.807965769321584,1.0,16.57
YBL004W,chrII,UTP20,0,0,7482,0.0,0.355118952151831,20.4,1.4409921431641817,1.0,20.72
YBL005W,chrII,PDR3,0,0,2931,0.0,0.3602865916069601,2.14,2.4656976671920527,0.0,21.98
YBL005W-A,chrII,YBL005W-A,0,0,1323,0.0,0.4104308390022675,,,,22.394285714285715
YBL005W-B,chrII,YBL005W-B,0,0,5268,0.0,0.3834472285497342,,,,22.468571428571423
YBL006C,chrII,LDB7,0,0,543,0.0,0.4843462246777164,19.6,5.507792191649788,0.0,22.45
YBL006W-A,chrII,YBL006W-A,0,0,150,0.0,0.4933333333333333,,,,22.45
YBL007C,chrII,SLA1,0,0,3735,0.0,0.4334672021419009,103.0,4.707241001002993,0.0,22.14
YBL008W,chrII,HIR1,0,0,2523,0.0,0.3955608402695204,5.98,0.0640440952517416,0.0,22.61
YBL008W-A,chrII,YBL008W-A,0,0,240,0.0,0.3375,,,0.0,22.62
YBL009W,chrII,ALK2,0,0,2031,0.0,0.3806006893156081,1.07,1.0887496192796078,0.0,22.59
YBL010C,chrII,YBL010C,0,0,843,0.0,0.3807829181494662,5.0,1.1207716669054786,0.0,21.94
YBL011W,chrII,SCT1,0,0,2280,0.0,0.4302631578947368,19.7,1.857278762300504,0.0,22.32
YBL012C,chrII,YBL012C,0,0,402,0.0,0.445273631840796,0.771,0.1921322857552254,0.0,22.77
YBL013W,chrII,FMT1,0,0,1206,0.0,0.4908789386401326,2.9,0.0640440952517416,0.0,21.14
YBL014C,chrII,RRN6,0,0,2685,0.0,0.3925512104283054,2.31,0.5123527620139329,1.0,22.8
YBL015W,chrII,ACH1,0,0,1581,0.0,0.4598355471220746,149.0,0.8325732382726408,0.0,24.83
YBL016W,chrII,FUS3,0,0,1062,0.0,0.4576271186440678,72.1,1.344926000286574,0.0,24.7
YBL017C,chrII,PEP1,1,1,4740,0.000210970464135,0.3896624472573839,50.3,3.074116572083605,0.0,25.44
YBL018C,chrII,POP8,0,0,402,0.0,0.3706467661691542,7.67,,1.0,26.27
YBL019W,chrII,APN2,1,1,1563,0.000639795265515,0.3742802303262956,2.07,,0.0,25.98
YBL020W,chrII,RFT1,0,0,1725,0.0,0.3826086956521739,3.49,0.7685291430208995,1.0,26.2
YBL021C,chrII,HAP3,0,0,435,0.0,0.4804597701149425,6.83,0.8005511906467704,0.0,26.49
YBL022C,chrII,PIM1,0,0,3402,0.0,0.406819517930629,80.8,2.6898520005731483,0.0,25.95
YBL023C,chrII,MCM2,0,0,2607,0.0,0.4000767165324127,19.8,0.5123527620139329,1.0,26.39
YBL024W,chrII,NCL1,0,0,2055,0.0,0.3868613138686131,266.0,0.4162866191363198,0.0,26.43
YBL025W,chrII,RRN10,0,0,438,0.0,0.4018264840182648,2.37,0.6724630001432869,0.0,25.7
YBL026W,chrII,LSM2,0,0,288,0.0,0.34375,235.0,7.076872525317452,1.0,26.04
YBL027W,chrII,RPL19B,0,0,570,0.0,0.443859649122807,2461.0,36.280979960111736,0.0,27.84
YBL028C,chrII,YBL028C,0,0,321,0.0,0.367601246105919,69.5,6.500475668051774,0.0,28.91
YBL029C-A,chrII,YBL029C-A,0,0,285,0.0,0.4,14.1,5.347681953520415,0.0,29.37
YBL029W,chrII,YBL029W,0,0,1131,0.0,0.3793103448275862,2.3,0.5763968572656736,0.0,28.39
YBL030C,chrII,PET9,0,0,957,0.0,0.4294670846394984,1051.0,12.840841097974192,1.0,29.82
YBL031W,chrII,SHE1,0,0,1017,0.0,0.3982300884955752,2.35,0.4803307143880623,0.0,30.48
YBL032W,chrII,HEK2,0,0,1146,0.0,0.462478184991274,157.0,6.340365429922426,0.0,30.43
YBL033C,chrII,RIB1,0,0,1038,0.0,0.4797687861271676,37.9,1.408970095538315,0.0,31.29
YBL034C,chrII,STU1,1,1,4542,0.0002201673271686,0.3535887274328489,5.9,0.6404409525174152,1.0,31.59
YBL035C,chrII,POL12,0,0,2118,0.0,0.3942398489140699,24.0,0.8645952858985118,1.0,31.51
YBL036C,chrII,YBL036C,0,0,774,0.0,0.3695090439276486,140.0,1.857278762300504,0.0,30.81
YBL037W,chrII,APL3,0,0,3078,0.0,0.3758934372969461,11.3,0.6404409525174152,0.0,30.41
YBL038W,chrII,MRPL16,0,0,699,0.0,0.396280400572246,19.1,2.209521286185085,0.0,30.57
YBL039C,chrII,URA7,1,1,1740,0.0005747126436781,0.4017241379310345,408.0,1.79323466704876,0.0,29.34
YBL039C-A,chrII,YBL039C-A,0,0,84,0.0,0.4285714285714285,,,,29.34
YBL039W-B,chrII,YBL039W-B,0,0,180,0.0,0.3388888888888889,0.686,0.8966173335243822,0.0,30.93
YBL040C,chrII,ERD2,0,0,660,0.0,0.3621212121212121,39.3,4.803307143880619,1.0,31.9
YBL041W,chrII,PRE7,0,0,726,0.0,0.4146005509641873,122.0,7.557203239705512,1.0,31.9
YBL042C,chrII,FUI1,0,0,1920,0.0,0.4177083333333333,19.8,1.408970095538315,0.0,32.63
YBL043W,chrII,ECM13,0,0,774,0.0,0.4315245478036176,0.189,0.2561763810069664,0.0,30.44
YBL044W,chrII,YBL044W,0,0,369,0.0,0.4715447154471545,0.411,0.224154333381095,0.0,31.76
YBL045C,chrII,COR1,0,0,1374,0.0,0.420669577874818,349.0,4.451064619996048,0.0,33.51
YBL046W,chrII,PSY4,0,0,1326,0.0,0.4079939668174962,13.2,1.2808819050348323,0.0,33.6
YBL047C,chrII,EDE1,1,1,4146,0.0002411963338157,0.4134105161601543,141.0,4.290954381866684,0.0,34.89
YBL048W,chrII,RRT1,0,0,312,0.0,0.3076923076923077,0.809,0.1921322857552254,0.0,38.31
YBL049W,chrII,MOH1,0,0,417,0.0,0.3908872901678657,0.887,,0.0,38.31
YBL050W,chrII,SEC17,0,0,879,0.0,0.3993174061433447,142.0,4.803307143880619,1.0,37.56
YBL051C,chrII,PIN4,0,0,2007,0.0,0.3906327852516193,50.5,3.490403191219927,0.0,38.57
YBL052C,chrII,SAS3,0,0,2496,0.0,0.3545673076923077,3.4,,0.0,39.85
YBL053W,chrII,YBL053W,0,0,375,0.0,0.376,0.484,,0.0,37.81
YBL054W,chrII,TOD6,0,0,1578,0.0,0.4150823827629911,13.1,0.4803307143880623,0.0,39.6
YBL055C,chrII,YBL055C,0,0,1257,0.0,0.4049323786793954,19.4,2.529741762443789,0.0,39.47
YBL056W,chrII,PTC3,0,0,1407,0.0,0.3887704335465529,124.0,7.653269382583127,0.0,39.43
YBL057C,chrII,PTH2,0,0,627,0.0,0.4290271132376395,53.1,,0.0,38.4
YBL058W,chrII,SHP1,0,0,1272,0.0,0.4418238993710692,121.0,,0.0,37.44
YBL059C-A,chrII,CMC2,0,0,330,0.0,0.3727272727272727,65.3,2.529741762443789,,38.62
YBL059W,chrII,YBL059W,0,0,582,0.0,0.3917525773195876,4.31,1.729190571797024,0.0,38.23
YBL060W,chrII,YEL1,0,0,2064,0.0,0.377906976744186,2.08,1.8252567146746363,0.0,38.08
YBL061C,chrII,SKT5,0,0,2091,0.0,0.3931133428981349,18.2,,0.0,36.33
YBL062W,chrII,YBL062W,0,0,381,0.0,0.3543307086614173,0.506,,0.0,34.96
YBL063W,chrII,KIP1,0,0,3336,0.0,0.3615107913669064,2.2,,0.0,36.21
YBL064C,chrII,PRX1,0,0,786,0.0,0.4173027989821883,129.0,,0.0,32.73
YBL065W,chrII,YBL065W,0,0,345,0.0,0.3855072463768116,0.472,,0.0,32.67
YBL066C,chrII,SEF1,0,0,3447,0.0,0.4026689875253844,1.98,0.0640440952517416,0.0,30.94
YBL067C,chrII,UBP13,0,0,2244,0.0,0.3712121212121212,8.9,1.0567275716537363,0.0,29.82
YBL068W,chrII,PRS4,0,0,981,0.0,0.3863404689092762,64.6,2.2415433338109616,0.0,28.11
YBL068W-A,chrII,YBL068W-A,0,0,237,0.0,0.3881856540084388,2.26,,,27.44
YBL069W,chrII,AST1,0,0,1290,0.0,0.4062015503875969,25.4,,0.0,27.53
YBL070C,chrII,YBL070C,0,0,321,0.0,0.3831775700934579,,,0.0,27.53
YBL071C,chrII,YBL071C,0,0,309,0.0,0.3624595469255663,0.73,,0.0,28.99
YBL071C-B,chrII,YBL071C-B,0,0,99,0.0,0.3232323232323232,,,0.0,28.99
YBL071W-A,chrII,KTI11,0,0,249,0.0,0.4457831325301205,28.4,,0.0,28.99
YBL072C,chrII,RPS8A,0,0,603,0.0,0.4361525704809287,2013.0,,0.0,28.26
YBL073W,chrII,YBL073W,0,0,312,0.0,0.4038461538461538,1.22,0.0640440952517416,1.0,29.4
YBL074C,chrII,AAR2,0,0,1068,0.0,0.3801498127340824,7.58,0.0640440952517416,1.0,29.83
YBL075C,chrII,SSA3,0,0,1950,0.0,0.4158974358974359,470.0,0.7044850477691579,0.0,29.83
YBL076C,chrII,ILS1,0,0,3219,0.0,0.389251320285803,730.0,,1.0,29.11
YBL077W,chrII,YBL077W,0,0,432,0.0,0.3518518518518518,0.315,,1.0,28.93
YBL078C,chrII,ATG8,0,0,354,0.0,0.3983050847457627,17.2,2.177499238559215,0.0,28.93
YBL079W,chrII,NUP170,0,0,4509,0.0,0.3730317143490796,28.9,0.4162866191363198,0.0,29.38
YBL080C,chrII,PET112,0,0,1626,0.0,0.4114391143911439,5.98,,0.0,29.6
YBL081W,chrII,YBL081W,0,0,1107,0.0,0.4480578139114724,2.42,,0.0,30.51
YBL082C,chrII,ALG3,0,0,1377,0.0,0.4785766158315178,4.14,,0.0,30.21
YBL083C,chrII,YBL083C,0,0,426,0.0,0.4577464788732394,0.5,,0.0,30.21
YBL084C,chrII,CDC27,0,0,2277,0.0,0.3715415019762846,6.87,0.6724630001432869,1.0,29.81
YBL085W,chrII,BOI1,0,0,2943,0.0,0.399932042133877,15.8,1.2488598574089609,0.0,26.51
YBL086C,chrII,YBL086C,0,0,1401,0.0,0.4118486795146324,8.66,1.3129039526606996,0.0,27.94
YBL087C,chrII,RPL23A,0,0,414,0.0,0.4685990338164251,1924.0,35.83267129334932,0.0,27.92
YBL088C,chrII,TEL1,0,0,8364,0.0,0.3580822572931612,1.46,,0.0,28.67
YBL089W,chrII,AVT5,0,0,1380,0.0,0.3876811594202898,0.562,,0.0,28.42
YBL090W,chrII,MRP21,0,0,534,0.0,0.3913857677902622,10.4,2.049411048055731,0.0,30.01
YBL091C,chrII,MAP2,1,1,1266,0.0007898894154818,0.433649289099526,105.0,12.680730859844836,0.0,28.09
YBL091C-A,chrII,SCS22,0,0,528,0.0,0.4393939393939394,0.547,2.6898520005731483,0.0,30.24
YBL092W,chrII,RPL32,0,0,393,0.0,0.4427480916030534,3692.0,68.07887325260137,1.0,30.27
YBL093C,chrII,ROX3,0,0,663,0.0,0.4434389140271493,12.0,3.298270905464697,0.0,28.11
YBL094C,chrII,YBL094C,0,0,333,0.0,0.3843843843843844,0.848,,0.0,28.86
YBL095W,chrII,YBL095W,0,0,813,0.0,0.4317343173431734,6.58,,0.0,28.86
YBL096C,chrII,YBL096C,0,0,309,0.0,0.4433656957928802,1.19,,0.0,31.07
YBL097W,chrII,BRN1,0,0,2265,0.0,0.377924944812362,5.83,,1.0,29.39
YBL098W,chrII,BNA4,1,1,1383,0.0007230657989877,0.386117136659436,15.3,0.5123527620139329,0.0,29.27
YBL099W,chrII,ATP1,1,1,1638,0.0006105006105006,0.4365079365079365,839.0,20.46208843293138,0.0,30.3
YBL100C,chrII,YBL100C,0,0,315,0.0,0.4349206349206349,0.109,,0.0,28.46
YBL100W-A,chrII,YBL100W-A,0,0,1317,0.0,0.3819286256643888,,,,28.958571428571428
YBL100W-B,chrII,YBL100W-B,0,0,5313,0.0,0.3694711086015433,,,,27.58714285714285
YBL100W-C,chrII,YBL100W-C,0,0,120,0.0,0.3583333333333333,,0.1280881905034832,0.0,30.08
YBL101C,chrII,ECM21,1,1,3354,0.0002981514609421,0.4141323792486583,9.58,1.3129039526606996,0.0,29.4
YBL102W,chrII,SFT2,1,1,648,0.0015432098765432,0.4475308641975308,27.4,3.1701827149612107,1.0,31.53
YBL103C,chrII,RTG3,0,0,1461,0.0,0.3969883641341546,14.2,1.0887496192796078,0.0,30.84
YBL104C,chrII,SEA4,0,0,3117,0.0,0.3904395251844722,8.41,0.5763968572656736,0.0,34.32
