locus_tag,gene_name,mutation_count,mutated,CDS_length_bp,mutation_density,gc_content,strand,protein_abundance,rna_level,essential,ori_distance
b0043,fixC,0,0,1284,0.0,0.5498442367601246,+,2.32,1.2554914155605694,0.0,0.32778459048631825
b0044,fixX,0,0,285,0.0,0.5719298245614035,+,,1.1957903325403247,0.0,0.3281219703674468
b0045,yaaU,0,0,1329,0.0,0.5342362678705794,+,1.64,0.9334744591079734,0.0,0.32849511337773707
b0046,kefF,0,0,528,0.0,0.5473484848484849,+,14.7,4.592302844189343,0.0,0.32894279881387056
b0047,kefC,0,0,1860,0.0,0.5559139784946237,+,1.92,4.391407499003794,0.0,0.32945511641113984
b0048,folA,0,0,477,0.0,0.5303983228511531,+,93.1,6.463570472786064,1.0,0.3300419764342523
b0049,apaH,0,0,840,0.0,0.5595238095238095,-,24.3,5.915648097362399,0.0,0.33036039754811436
b0050,apaG,0,0,375,0.0,0.5226666666666666,-,12.3,7.333967373809571,0.0,0.3306258202898451
b0051,rsmA,0,0,819,0.0,0.5323565323565324,-,82.2,7.607979645169129,0.0,0.3308852106965365
b0052,pdxA,0,0,987,0.0,0.5643363728470111,-,16.5,6.80680434712624,0.0,0.33127386542549936
b0053,surA,0,0,1284,0.0,0.5397196261682243,-,647.0,8.36345712799642,0.0,0.33176420808798246
b0054,lptD,0,0,2352,0.0,0.514030612244898,-,90.0,8.508422239086906,1.0,0.33257124834003066
b0055,djlA,0,0,813,0.0,0.5276752767527675,+,27.9,5.644523866805508,0.0,0.33336363863555474
b0058,rluA,0,0,657,0.0,0.5418569254185692,-,6.69,5.411027638297062,0.0,0.33433096664721956
b0059,rapA,2,1,2904,0.0006887052341597,0.5495867768595041,-,48.4,5.622284486113412,0.0,0.33510439817547716
b0060,polB,0,0,2349,0.0,0.5538527032779906,-,0.982,4.244827360254936,0.0,0.33630784901582456
b0061,araD,0,0,693,0.0,0.5555555555555556,-,0.913,1.6654389842252355,0.0,0.3369963969724572
b0062,araA,0,0,1500,0.0,0.556,-,11.9,2.194990534425384,0.0,0.3375927363792029
b0063,araB,0,0,1698,0.0,0.5812720848056537,-,4.81,1.6444038487669763,0.0,0.3382873166708749
b0064,araC,0,0,876,0.0,0.5273972602739726,+,7.52,5.369715530258267,0.0,0.3389887910597348
b0065,yabI,0,0,762,0.0,0.5393700787401575,+,,4.9477184096692834,0.0,0.3393796001940688
b0066,thiQ,0,0,696,0.0,0.5718390804597702,-,2.05,4.67396313852731,0.0,0.33974369470180016
b0067,thiP,0,0,1608,0.0,0.5845771144278606,-,0.007,4.400442218631371,0.0,0.34023403736428326
b0068,thiB,0,0,981,0.0,0.5341488277268094,-,195.0,6.855312655698533,0.0,0.34078211809071424
b0069,sgrR,1,1,1653,0.0006049606775559,0.5493042952208107,-,17.6,4.519776048724072,0.0,0.34142111472380954
b0070,setA,0,0,1176,0.0,0.4855442176870748,+,0.97,4.345096813594054,0.0,0.3421704169119098
b0071,leuD,0,0,603,0.0,0.5174129353233831,-,948.0,9.94909190998215,0.0,0.34257544512169374
b0072,leuC,1,1,1398,0.0007153075822603,0.5586552217453505,-,803.0,9.867030074887229,0.0,0.3430123585309713
b0073,leuB,0,0,1089,0.0,0.5564738292011019,-,906.0,9.712819724741962,0.0,0.3435500981116206
b0074,leuA,0,0,1569,0.0,0.5302740599107711,-,1152.0,9.65821118753343,0.0,0.3441236008214317
b0075,leuL,0,0,84,0.0,0.4880952380952381,-,,,0.0,0.34452087317187935
b0076,leuO,0,0,942,0.0,0.4585987261146497,+,,2.896583670100119,0.0,0.34502715843410925
b0077,ilvI,1,1,1722,0.0005807200929152,0.5296167247386759,+,186.0,8.082956116037723,0.0,0.3457389739687508
b0078,ilvH,0,0,489,0.0,0.5030674846625767,+,460.0,7.927490148123619,0.0,0.3462172519611552
b0080,cra,0,0,1002,0.0,0.5508982035928144,+,75.7,6.9383147226503565,0.0,0.34661710959804826
b0081,mraZ,0,0,456,0.0,0.5241228070175439,+,12.2,7.987622757898133,0.0,0.34719147407000783
b0082,rsmH,1,1,939,0.0010649627263045,0.5527156549520766,+,98.4,7.300963904134761,0.0,0.3474935217030488
b0083,ftsL,0,0,363,0.0,0.5068870523415978,+,3.45,6.847884616146291,1.0,0.3477735944013037
b0084,ftsI,0,0,1764,0.0,0.5408163265306123,+,6.5,6.413118933633927,1.0,0.34823980772362945
b0085,murE,0,0,1485,0.0,0.5663299663299664,+,102.0,7.192153840102633,1.0,0.3489348188963757
b0086,murF,0,0,1356,0.0,0.551622418879056,+,45.3,6.985031284882212,1.0,0.34954667002179396
b0087,mraY,0,0,1080,0.0,0.5351851851851852,+,22.6,6.643436951853299,1.0,0.3500697596459192
b0088,murD,0,0,1314,0.0,0.5494672754946728,+,68.4,6.915965490689362,1.0,0.3505876786971535
b0089,ftsW,0,0,1242,0.0,0.5305958132045089,+,1.89,6.558236403773805,1.0,0.35113920647217844
b0090,murG,0,0,1065,0.0,0.5624413145539906,+,52.1,6.636834609970669,1.0,0.35163558146970086
b0091,murC,0,0,1473,0.0,0.5478615071283096,+,77.2,7.127814283544275,1.0,0.35220649889306654
b0092,ddlB,0,0,918,0.0,0.5174291938997821,+,57.5,7.432622979665558,0.0,0.35271967825248424
b0093,ftsQ,0,0,828,0.0,0.533816425120773,+,6.69,7.465020521441817,1.0,0.35309756095459116
b0094,ftsA,1,1,1260,0.0007936507936507,0.5222222222222223,+,144.0,7.649382787741118,1.0,0.35354696991502166
b0095,ftsZ,0,0,1149,0.0,0.5430809399477807,+,840.0,9.40189904538114,1.0,0.3540928962360815
b0096,lpxC,0,0,915,0.0,0.512568306010929,+,38.6,10.234646029649062,1.0,0.35458194625534184
b0097,secM,0,0,510,0.0,0.5431372549019607,+,2.45,7.880106509821935,1.0,0.3549895597515712
b0098,secA,1,1,2703,0.0003699593044765,0.5246022937476877,+,338.0,7.6153167007825795,1.0,0.35570913114554903
b0099,mutT,0,0,387,0.0,0.4935400516795866,+,3.31,4.261849276519913,0.0,0.3564015570318499
b0101,yacG,0,0,195,0.0,0.517948717948718,-,22.1,6.741783012475796,,0.35662087549863714
b0102,zapD,0,0,741,0.0,0.5168690958164642,-,77.0,6.51674126198982,0.0,0.3568276984142715
b0103,coaE,0,0,618,0.0,0.529126213592233,-,10.4,6.396611075945241,1.0,0.3571215593069019
b0104,guaC,0,0,1041,0.0,0.5148895292987512,+,297.0,8.230291257377692,0.0,0.3575765697212975
b0106,hofC,0,0,1200,0.0,0.5208333333333334,-,1.84,2.506581698896196,0.0,0.3580755300052654
b0107,hofB,0,0,1383,0.0,0.5357917570498916,-,1.05,2.696437591582663,0.0,0.358628350423513
b0108,ppdD,0,0,438,0.0,0.5342465753424658,-,,0.744403798457409,0.0,0.35902605365503487
b0109,nadC,0,0,891,0.0,0.5331088664421998,-,178.0,6.454721691215994,0.0,0.3594004893085479
b0110,ampD,1,1,549,0.0018214936247723,0.5391621129326047,+,6.77,5.828288914558819,0.0,0.35974950297868086
b0111,ampE,0,0,852,0.0,0.5223004694835681,+,11.4,5.13678135816051,0.0,0.36005111973064763
b0112,aroP,1,1,1371,0.0007293946024799,0.5280816921954777,-,116.0,8.59482200015335,0.0,0.360549218252467
b0113,pdhR,1,1,762,0.0013123359580052,0.5590551181102362,+,23.5,7.358414576334355,0.0,0.36124293678199054
b0114,aceE,0,0,2661,0.0,0.5310033821871477,+,2367.0,10.095709926659076,0.0,0.362050407915113
b0115,aceF,0,0,1890,0.0,0.5476190476190477,+,1429.0,9.641641841918563,0.0,0.3630384182183412
b0116,lpd,0,0,1422,0.0,0.5316455696202531,+,2119.0,10.222942739706976,0.0,0.36389285538855565
b0117,yacH,0,0,1851,0.0,0.539708265802269,-,0.126,1.538238001153785,0.0,0.36462923114442874
b0118,acnB,0,0,2595,0.0,0.5595375722543353,+,1880.0,9.65781512890991,0.0,0.36574090431596334
b0119,yacL,0,0,360,0.0,0.525,+,45.5,6.466570241538635,0.0,0.36645444337490185
b0120,speD,0,0,792,0.0,0.4633838383838384,-,78.6,8.303238234587798,0.0,0.3667198661166326
b0121,speE,1,1,864,0.0011574074074074,0.5092592592592593,-,126.0,8.204281467215313,0.0,0.36708439150543815
b0122,yacC,0,0,345,0.0,0.5043478260869565,-,35.6,7.055792499362703,0.0,0.36739117883029576
b0123,cueO,0,0,1548,0.0,0.5478036175710594,+,101.0,7.095941462789953,0.0,0.3678716112280714
b0124,gcd,0,0,2388,0.0,0.554857621440536,-,71.8,6.991247906920149,0.0,0.3688074849213168
b0125,hpt,0,0,534,0.0,0.5093632958801498,+,307.0,7.714763195711149,0.0,0.3695266254342204
b0126,can,0,0,660,0.0,0.509090909090909,-,643.0,9.991767388853894,1.0,0.36980238932173287
b0127,yadG,0,0,924,0.0,0.4967532467532468,+,69.8,6.159496358157798,0.0,0.37019147493176996
b0128,yadH,0,0,768,0.0,0.5091145833333334,+,,5.902401137374969,0.0,0.3705555694395013
b0129,yadI,0,0,438,0.0,0.4954337899543379,+,1.97,4.441435663224075,0.0,0.37086149500221044
b0130,yadE,0,0,1227,0.0,0.4963325183374083,+,0.566,3.7505478232088447,0.0,0.37124842620687637
b0131,panD,1,1,378,0.0026455026455026,0.5264550264550265,-,175.0,8.986083683106497,0.0,0.37159700899593506
b0132,yadD,0,0,900,0.0,0.49,+,,3.4132934184728763,0.0,0.37199126517886305
b0133,panC,0,0,849,0.0,0.5288574793875147,-,535.0,8.581041103139345,0.0,0.37240060219938936
b0134,panB,0,0,792,0.0,0.547979797979798,-,852.0,8.128302608998009,0.0,0.3727603878963783
b0135,yadC,0,0,1236,0.0,0.4037216828478964,-,0.084,2.0091668247791845,0.0,0.3732472835102675
b0136,yadK,0,0,594,0.0,0.4158249158249158,-,,1.7099740680113065,0.0,0.37366394550905585
b0137,yadL,0,0,603,0.0,0.4278606965174129,-,0.375,2.066639740195348,0.0,0.3739341079426032
b0138,yadM,0,0,567,0.0,0.4303350970017636,-,5.47,2.0640778070191947,0.0,0.37419220570607187
b0139,htrE,0,0,2595,0.0,0.4339113680154142,-,2.39,1.7246531717764877,0.0,0.37488161542485304
b0140,yadV,0,0,738,0.0,0.4457994579945799,-,0.171,0.6917579111318088,0.0,0.375615836775355
b0141,yadN,0,0,582,0.0,0.4501718213058419,-,,0.7132107489857946,0.0,0.37594330639177603
b0142,folK,0,0,477,0.0,0.5031446540880503,-,5.28,5.3664284854948825,1.0,0.37633153023966465
b0143,pcnB,0,0,1395,0.0,0.5591397849462365,-,35.1,7.948284681979459,0.0,0.37673440404407743
b0144,gluQ,0,0,924,0.0,0.5367965367965368,-,2.43,4.497156233926012,0.0,0.3772609407167965
b0145,dksA,0,0,453,0.0,0.5298013245033113,-,765.0,9.851710601457183,0.0,0.3775741912577677
b0146,sfsA,1,1,702,0.0014245014245014,0.4943019943019943,-,3.53,6.50625958991961,0.0,0.3779007991120403
b0147,ligT,0,0,528,0.0,0.5625,-,5.12,4.791470900421589,0.0,0.3781731159509588
b0148,hrpB,0,0,2427,0.0,0.5665430572723527,+,3.19,4.89511695648097,0.0,0.3788422742592508
b0149,mrcB,0,0,2532,0.0,0.5521327014218009,+,34.0,5.988895337465271,0.0,0.37999617377606076
b0150,fhuA,0,0,2241,0.0,0.5131637661758144,+,77.6,7.784496380061197,0.0,0.38111991161767406
b0151,fhuC,0,0,795,0.0,0.569811320754717,+,15.1,5.687202626474985,0.0,0.38179682578530233
b0152,fhuD,0,0,888,0.0,0.5472972972972973,+,0.376,5.050098765328103,0.0,0.38216048941195935
b0153,fhuB,0,0,1980,0.0,0.5984848484848485,+,0.204,4.141607051467295,0.0,0.38277794199134274
b0154,hemL,0,0,1278,0.0,0.5555555555555556,-,480.0,7.716365413927989,1.0,0.3835487882331549
b0155,clcA,0,0,1419,0.0,0.5391120507399577,+,2.07,5.527449728901793,0.0,0.38422742592508013
b0156,erpA,0,0,342,0.0,0.5116959064327485,+,301.0,8.278536288619392,1.0,0.38464322616172003
b0157,yadS,0,0,621,0.0,0.537842190016103,-,0.015,4.382550633721984,0.0,0.3848715931310663
b0158,btuF,0,0,798,0.0,0.5300751879699248,-,1.4,4.481358250725498,0.0,0.38519475393674496
b0159,mtn,0,0,696,0.0,0.5258620689655172,-,245.0,8.301753905589422,0.0,0.3855144676938297
b0160,dgt,0,0,1515,0.0,0.4805280528052805,+,4.14,5.519971613260564,0.0,0.38602764705324744
b0161,degP,0,0,1422,0.0,0.5407876230661041,+,681.0,7.387014749083623,0.0,0.3867174876531028
b0162,cdaR,1,1,1155,0.0008658008658008,0.529004329004329,+,2.52,3.2997572682767085,0.0,0.38734011080537706
b0163,yaeH,0,0,384,0.0,0.4479166666666667,-,1146.0,8.737144504232871,0.0,0.3877110994102962
b0164,yaeI,0,0,810,0.0,0.5148148148148148,-,,3.3892594155677744,0.0,0.38803899990779145
b0166,dapD,1,1,822,0.0012165450121654,0.5328467153284672,-,1572.0,10.00501373330872,1.0,0.38841472820452716
b0167,glnD,1,1,2670,0.0003745318352059,0.5397003745318352,-,20.7,5.745339965626209,0.0,0.38918126563559696
b0168,map,0,0,792,0.0,0.5063131313131313,-,344.0,8.56439582854408,1.0,0.3899546971638546
b0169,rpsB,0,0,723,0.0,0.5159059474412172,+,3628.0,11.819610152524348,1.0,0.3904403001345211
b0170,tsf,0,0,849,0.0,0.5005889281507656,+,3742.0,10.26477702092007,1.0,0.39089100173817426
b0171,pyrH,0,0,723,0.0,0.5297372060857538,+,294.0,8.042944685659457,1.0,0.391293875542587
b0172,frr,0,0,555,0.0,0.5099099099099099,+,1770.0,10.045408140695042,1.0,0.39169588758485124
b0173,dxr,0,0,1194,0.0,0.5268006700167505,+,4.33,5.306285775293511,1.0,0.3921134113457881
b0174,ispU,0,0,759,0.0,0.5006587615283268,+,40.1,7.555957703745311,1.0,0.3926149569162014
b0175,cdsA,0,0,855,0.0,0.5099415204678363,+,9.29,6.83134298003802,1.0,0.3929691411592252
b0176,rseP,0,0,1350,0.0,0.5096296296296297,+,8.51,7.900511928608488,1.0,0.3934504353191493
b0177,bamA,0,0,2430,0.0,0.5074074074074074,+,307.0,8.780886325678194,1.0,0.39427858874383515
b0178,skp,0,0,483,0.0,0.505175983436853,+,1699.0,9.909325746770085,0.0,0.3949593808411316
b0179,lpxD,0,0,1023,0.0,0.5298142717497556,+,200.0,9.266766746817302,1.0,0.39528641957647837
b0180,fabZ,0,0,453,0.0,0.5055187637969095,+,692.0,9.244378458735945,1.0,0.39565051408420965
b0181,lpxA,0,0,786,0.0,0.5330788804071247,+,406.0,8.565004745852915,1.0,0.3959202456366828
b0182,lpxB,0,0,1146,0.0,0.5383944153577661,+,60.2,6.83282708796421,1.0,0.3963373385165454
b0183,rnhB,0,0,594,0.0,0.5740740740740741,+,14.7,5.953278168653236,0.0,0.39671177417005843
b0184,dnaE,0,0,3480,0.0,0.55,+,3.97,6.443899637654356,1.0,0.397606283280177
b0185,accA,0,0,957,0.0,0.5245559038662487,+,799.0,8.215132903550737,1.0,0.3985684407189509
b0186,ldcC,0,0,2139,0.0,0.50958391771856,+,5.46,5.240529164887887,0.0,0.39927896361036974
b0187,yaeR,0,0,387,0.0,0.5090439276485789,+,55.3,5.864614562008224,0.0,0.3998485883905127
b0188,tilS,0,0,1296,0.0,0.5817901234567902,+,8.61,5.364451538890499,1.0,0.40024025928699525
b0189,rof,0,0,252,0.0,0.4801587301587302,-,158.0,7.573599880320125,0.0,0.4005957361732418
b0190,yaeQ,0,0,543,0.0,0.5248618784530387,+,4.34,5.807101066369578,0.0,0.40092234402751437
b0191,arfB,0,0,420,0.0,0.5452380952380952,+,0.971,5.758008722447751,0.0,0.4011295978242229
b0192,nlpE,0,0,708,0.0,0.5254237288135594,+,10.9,6.18368760108392,0.0,0.4013795088472811
b0193,yaeF,0,0,822,0.0,0.4939172749391727,-,0.108,2.38363930807095,0.0,0.40179617084606944
b0194,proS,0,0,1716,0.0,0.5454545454545454,-,751.0,8.48505118528026,1.0,0.4023670882694351
b0195,tsaA,0,0,705,0.0,0.5546099290780142,-,6.14,5.850591561279427,0.0,0.40293757481172654
b0196,rcsF,0,0,402,0.0,0.5348258706467661,-,163.0,7.756659073205897,0.0,0.40317585204578027
b0197,metQ,1,1,813,0.001230012300123,0.4932349323493235,-,2375.0,10.091709970631571,0.0,0.4034891025867514
b0198,metI,0,0,651,0.0,0.5253456221198156,-,23.0,7.533652755368131,0.0,0.40382260453821184
b0199,metN,0,0,1029,0.0,0.5296404275996113,-,107.0,7.412346426161462,0.0,0.40418239023520075
b0200,gmhB,0,0,573,0.0,0.5026178010471204,+,39.8,6.726253319712736,0.0,0.4046093933797708
b0207,dkgB,0,0,801,0.0,0.4644194756554307,+,127.0,5.145669080640723,0.0,0.4073877145464589
b0208,yafC,1,1,912,0.0010964912280701,0.4978070175438596,-,13.8,4.947616872827614,0.0,0.4077565487460068
b0209,yafD,2,1,798,0.0025062656641604,0.5288220551378446,+,13.1,7.326081753853589,0.0,0.40822965616552037
b0210,yafE,0,0,621,0.0,0.4927536231884058,+,1.79,4.772241315713044,0.0,0.4085377361336007
b0211,mltD,0,0,1356,0.0,0.5199115044247787,-,0.821,8.29185644584973,0.0,0.4089854215697342
b0212,gloB,0,0,753,0.0,0.4023904382470119,-,230.0,6.317764428029071,0.0,0.40947145542147495
b0213,yafS,0,0,720,0.0,0.4958333333333333,+,0.253,5.477264869265148,0.0,0.4098045264918611
b0214,rnhA,0,0,465,0.0,0.5075268817204301,-,5.72,6.118427737466,0.0,0.4100591772067359
b0215,dnaQ,0,0,729,0.0,0.5034293552812071,+,3.08,7.142293729006928,0.0,0.4103452822400301
b0217,yafT,0,0,783,0.0,0.4291187739463601,+,1.34,2.203883768598508,0.0,0.41090327323116854
b0218,yafU,0,0,354,0.0,0.384180790960452,-,,0.8102936569555508,0.0,0.4114190378770317
b0219,yafV,0,0,768,0.0,0.5481770833333334,-,14.2,5.676855231413822,0.0,0.4117982132223614
b0220,ivy,0,0,471,0.0,0.5031847133757962,+,555.0,8.434712907578131,0.0,0.41213214605489595
b0221,fadE,0,0,2442,0.0,0.5696150696150696,-,84.2,4.55354653071668,0.0,0.4127793294284018
b0222,gmhA,0,0,576,0.0,0.5121527777777778,+,879.0,8.263717462051892,0.0,0.4135338021893929
b0223,yafJ,0,0,765,0.0,0.5372549019607843,+,16.9,6.820455474760169,0.0,0.4139121157725741
b0224,yafK,0,0,738,0.0,0.4864498644986449,-,2.8,7.998465795025483,0.0,0.4142245045513968
b0225,yafQ,0,0,276,0.0,0.3985507246376811,-,0.212,6.768281451393721,0.0,0.4145110404657652
b0226,dinJ,0,0,258,0.0,0.4728682170542636,-,23.2,8.236159581647003,0.0,0.414628240117958
b0227,yafL,0,0,747,0.0,0.5247657295850067,+,7.71,2.774082119669105,0.0,0.4149358892049641
b0228,rayT,0,0,495,0.0,0.4505050505050505,+,2.49,4.237503694597357,0.0,0.4152801631832804
b0229,lfhA,0,0,1710,0.0,0.5812865497076023,-,,1.5116619942899725,0.0,0.41585280413094305
b0230,lafU,0,0,753,0.0,0.5298804780876494,+,,1.8155972338854105,0.0,0.41638494225762723
b0231,dinB,1,1,1053,0.0009496676163342,0.5422602089268755,+,2.57,4.326159442147852,0.0,0.41680548218608376
b0232,yafN,0,0,291,0.0,0.4261168384879725,+,1.15,4.780385102462444,0.0,0.4171183018459807
b0233,yafO,0,0,396,0.0,0.4368686868686868,+,2.76,4.085169136140822,0.0,0.41726867934088985
b0234,yafP,0,0,450,0.0,0.4355555555555555,+,0.004,3.048108844962194,0.0,0.41745611260818344
b0235,ykfJ,0,0,207,0.0,0.5120772946859904,+,,1.041626016831168,0.0,0.4177348926632156
b0236,prfH,0,0,498,0.0,0.5461847389558233,+,,1.0492025980386217,0.0,0.4178943186606837
b0237,pepD,0,0,1455,0.0,0.5147766323024054,-,898.0,8.391479785570372,0.0,0.4183402805725203
b0238,gpt,1,1,456,0.0021929824561403,0.5219298245614035,+,289.0,7.530092339350261,0.0,0.4188655246020167
b0239,frsA,0,0,1242,0.0,0.537842190016103,+,39.0,6.169259488582375,0.0,0.41927184545502333
b0240,crl,0,0,399,0.0,0.506265664160401,+,,,0.0,0.419651020800353
b0241,phoE,0,0,1053,0.0,0.4482431149097816,-,63.7,2.0116429974854064,0.0,0.4199815065842937
b0242,proB,0,0,1101,0.0,0.5640326975476839,+,157.0,7.691014822460454,0.0,0.42057052101277737
b0243,proA,0,0,1251,0.0,0.5443645083932853,+,262.0,7.505230242788893,0.0,0.42108326949112085
b0245,ykfI,0,0,339,0.0,0.5132743362831859,-,0.191,1.3606817667124371,0.0,0.42167314568175296
b0246,yafW,0,0,315,0.0,0.5746031746031746,-,13.8,0.3721100990103738,0.0,0.4218239540577363
b0247,ykfG,0,0,474,0.0,0.5864978902953587,-,0.021,0.5867895382038334,0.0,0.42210230323169423
b0248,yafX,0,0,456,0.0,0.5570175438596491,-,,0.3052083652112782,0.0,0.4223104187905513
b0249,ykfF,0,0,237,0.0,0.5907172995780591,-,,0.6209956705534813,0.0,0.42250259174966154
b0250,ykfB,0,0,465,0.0,0.5268817204301075,-,2.47,5.527141632767261,0.0,0.42268787061158397
b0251,yafY,0,0,441,0.0,0.5102040816326531,-,2.39,3.403331126955434,0.0,0.42289383176506984
b0252,yafZ,0,0,819,0.0,0.5787545787545788,-,0.445,1.1205281754201106,0.0,0.4234380345618327
b0253,ykfA,0,0,861,0.0,0.5691056910569106,-,0.011,3.990512484054339,0.0,0.42384047748517123
b0254,perR,0,0,891,0.0,0.4803591470258136,-,0.205,2.654706180141162,0.0,0.42436055094177677
b0256,insI1,0,0,1149,0.0,0.4586597040905135,+,1.33,2.7907516520605085,0.0,0.42498231233190253
b0258,ykfC,0,0,1108,0.0,0.546028880866426,+,,4.355842868403946,0.0,0.4259397300788599
b0259,insH1,0,0,1014,0.0,0.5483234714003945,-,0.589,6.748316445227735,0.0,0.4264606652976139
b0260,mmuP,0,0,1401,0.0,0.5496074232690935,+,2.97,4.234094096638486,0.0,0.42707122377980944
b0261,mmuM,0,0,930,0.0,0.6043010752688172,+,20.2,5.430357899361919,0.0,0.4275688914205546
b0262,afuC,0,0,1044,0.0,0.5651340996168582,-,2.02,1.7809303194220127,0.0,0.42804199884006816
b0263,afuB,0,0,345,0.0,0.5681159420289855,-,,1.6987584483101548,0.0,0.42834706264062883
b0264,insB1,0,0,501,0.0,0.5548902195608783,-,0.068,3.239916824236708,0.0,0.4285375120754421
b0265,insA,0,0,273,0.0,0.5384615384615384,-,0.046,4.395419971514188,0.0,0.42867022344630745
b0266,yagB,0,0,309,0.0,0.517799352750809,-,,5.729477434246001,0.0,0.4290338870729645
b0267,yagA,0,0,1152,0.0,0.6223958333333334,-,0.274,0.9990094722858376,0.0,0.42938936395921107
b0268,yagE,0,0,906,0.0,0.6169977924944813,+,34.2,2.2345586075746104,0.0,0.42996071226365096
b0269,yagF,0,0,1965,0.0,0.6681933842239186,+,4.24,2.1856012346072564,0.0,0.4305863515834449
b0270,yagG,0,0,1380,0.0,0.6260869565217392,+,1.45,2.350503607783724,0.0,0.431405887386646
b0271,yagH,0,0,1608,0.0,0.6449004975124378,+,1.33,2.810792117683302,0.0,0.4320556560465972
b0272,yagI,0,0,756,0.0,0.6335978835978836,-,6.26,5.727426753516767,0.0,0.43256797364386645
